omega_eV,eps1,eps2,n,k,alpha_cm1
4.375000000000000000e+00,-4.408290000000000264e-01,3.670117999999999991e+00,1.275866146608108043e+00,1.438284889742162065e+00,6.377690862704133615e+05
4.400000000000000355e+00,-5.727560000000000429e-01,3.567794000000000132e+00,1.233028641398007608e+00,1.446760391532688095e+00,6.451931919713747920e+05
4.424999999999999822e+00,-6.755929999999999991e-01,3.449778999999999929e+00,1.191578055382281898e+00,1.447567360114416557e+00,6.492209805530530866e+05
4.450000000000000178e+00,-7.711369999999999614e-01,3.322064000000000128e+00,1.148750021957079204e+00,1.445947306421084377e+00,6.521582111738855019e+05
4.475000000000000533e+00,-8.582250000000017920e-01,3.162332999999992733e+00,1.099658116262120844e+00,1.437870986097555814e+00,6.521589357745194575e+05
4.500000000000000000e+00,-9.074569999999999581e-01,2.965730000000000199e+00,1.047377566878890942e+00,1.415788390827225740e+00,6.457305740262084873e+05
4.525000000000000355e+00,-8.961230000000000029e-01,2.756409999999999805e+00,1.000573827583780995e+00,1.377414601507352288e+00,6.317187323525893735e+05
4.549999999999999822e+00,-8.244340000000000002e-01,2.565367000000000175e+00,9.669935445802378959e-01,1.326465421810856027e+00,6.117131535719847307e+05
4.575000000000000178e+00,-7.062610000000000277e-01,2.415938999999999837e+00,9.515235141056962442e-01,1.269510928624111079e+00,5.886647513267032336e+05
4.600000000000000533e+00,-5.635309999999952302e-01,2.324761999999999329e+00,9.561791447966641044e-01,1.215651906157381612e+00,5.667709160836237716e+05
4.625000000000000000e+00,-4.277909999999999768e-01,2.297127999999999837e+00,9.769419022847869449e-01,1.175672777791430645e+00,5.511105040639233775e+05
4.650000000000000355e+00,-3.323389999999999955e-01,2.317007999999999956e+00,1.002093334775782107e+00,1.156083929307058611e+00,5.448573404530218104e+05
4.674999999999999822e+00,-2.938080000000000136e-01,2.347050999999999998e+00,1.017733073551372991e+00,1.153077885053877871e+00,5.463623285195173230e+05
4.700000000000000178e+00,-2.969160000000000132e-01,2.346173999999999982e+00,1.016850829040992332e+00,1.153647090110902829e+00,5.495552006332231686e+05
4.725000000000000533e+00,-2.985959999999985848e-01,2.298226999999997133e+00,1.004725657321499988e+00,1.143708724492437545e+00,5.477189110806746176e+05
4.750000000000000000e+00,-2.596970000000000112e-01,2.228706999999999994e+00,9.960144083559633321e-01,1.118812630270448638e+00,5.386311418981672032e+05
